feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,15.0,star_branch,0.01711647362058926,0.01827324194592944,0.03191100051637615,0.03409388136228423,0.04354237046535493,0.04630509553660829,0.06758216388384544,0.06840527750885976,0.06344911959838193
A,urban_short,6.0,16.0,star_branch,0.01742827802320785,0.018631673061534258,0.0326270953272814,0.03498078633915809,0.043590690136685165,0.04662700309826653,0.06904841870917725,0.07213915269707245,0.06965507891846967
A,urban_short,6.0,17.0,star_branch,0.017382104226099364,0.018585532708260917,0.03224838785011376,0.03465208485573658,0.043264950423702764,0.046217022628376916,0.06923376286943418,0.0745369665235634,0.0682324185227046
A,urban_short,6.0,18.0,star_branch,0.017597770464007567,0.018823974060883146,0.03257973849270433,0.034875567344084216,0.04341010306032104,0.046520577305452594,0.06967948578392434,0.07046799506674967,0.07165323336849393
A,urban_short,6.0,19.0,star_branch,0.017626747274719815,0.018863147473488724,0.03247223753391813,0.03483499640749391,0.044410404723131305,0.04728541580493436,0.07014341213946762,0.07276242886274184,0.0647373312566457
A,urban_short,6.0,20.0,star_branch,0.017689257073924353,0.01893553449853021,0.03239499296951478,0.03465472424626058,0.044149902390159076,0.04720118317419188,0.07045391558263854,0.0697555723772595,0.06911183533472375
A,urban_short,6.0,21.0,star_branch,0.017480542245618576,0.018729857195787854,0.032730085031736196,0.03524168099682601,0.04393781838893272,0.04720482801780647,0.07146888995862892,0.07673661594995808,0.07435529911736939
A,urban_short,6.0,22.0,star_branch,0.016973992864403147,0.01819233986114286,0.03158538233794641,0.033940847626217886,0.042457097598730245,0.04561496466710753,0.07177727753702307,0.07457453777412855,0.07437783661574941
A,urban_short,6.0,23.0,star_branch,0.01678578715927665,0.017981115494605942,0.030838337102704772,0.03303112312621319,0.042363405354258234,0.045516488884911735,0.07121074060972434,0.07110584517594144,0.0744294162446637
A,urban_short,6.0,24.0,star_branch,0.016821865402158485,0.018036757026098395,0.03094793018228107,0.033286520958391644,0.042352651111202975,0.045842837373619945,0.07222098113946515,0.07556533707864929,0.08240774003150318
A,urban_short,6.0,25.0,star_branch,0.01672724342967946,0.01793124680395606,0.031032727946436522,0.03323307042125391,0.04172074466647972,0.044806388354949475,0.07197858866215291,0.07090393337689323,0.07395945861313674
A,urban_short,6.0,26.0,star_branch,0.01646821618604784,0.017678729352436903,0.030145952195153213,0.03246702535727449,0.040728734441677975,0.04369027820100675,0.073506028383003,0.07699452142349161,0.07271386651037727
A,urban_short,6.0,27.0,star_branch,0.01651661500925434,0.017731831081345274,0.030756712693820455,0.03313157148714139,0.04130773899352875,0.044061105288392875,0.07357537070459318,0.07721432446186238,0.06665497463551484
A,urban_short,6.0,28.0,star_branch,0.016398742851304084,0.017606184667704017,0.030277227653737655,0.03252937767413821,0.04124501587697292,0.044671984933830594,0.07363014514883462,0.07438428795915637,0.08308807704377559
A,urban_short,6.0,29.0,star_branch,0.016197644738585,0.017426770593261053,0.030068464195610555,0.03242041997609709,0.04007724439818491,0.043419257233202044,0.07588299870215746,0.07822001699807063,0.08338928699320695
A,urban_short,6.0,30.0,star_branch,0.01619628736362862,0.017410365934903325,0.030078039592768207,0.032211295999957146,0.04008714045405325,0.043296413625979996,0.07496030071688618,0.07092405077164161,0.08005742329276712
A,urban_short,6.0,31.0,star_branch,0.01628792010640162,0.017519509053259674,0.030372554714267353,0.03271165212708983,0.04021934894638858,0.0433986634380824,0.07561364120235356,0.07701352207042697,0.0790493773514775
